measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2001,0.0058304134893654,0.0115087961436532,0.0021073396467278
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2001,0.0005401573902297,0.0012706535220998,0.0001009182643922
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2002,0.0056359662206908,0.011058727875416,0.0020045933751885
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2002,0.0004965334525834,0.0011499212850092,9.08685579983e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2003,0.0054481120614748,0.0104657290695689,0.0019821345028507
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2003,0.0004535775261918,0.00107164520223,7.77554018645e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2004,0.0053043132812256,0.0100528927276371,0.0018737408157737
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2004,0.0004202942872637,0.0009730647351771,6.34346117187e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2005,0.0052407644328401,0.0099444107326641,0.0018466986727835
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2005,0.0004054095842428,0.0009381876158387,6.01060257134e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2006,0.0052297569047572,0.0099412548845845,0.0018611148077457
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2006,0.0004015873049353,0.0009007666891632,6.00663074164e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2007,0.0052940530147305,0.0099845020051996,0.0019107467240051
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2007,0.0004102359747263,0.0009009830757102,6.43044680308e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2008,0.0053776739186503,0.0101718423759453,0.0019252584452777
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2008,0.0004256195813014,0.0009519678838345,7.67837601473e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2009,0.0054833575697548,0.0106428420901261,0.0019510514323485
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2009,0.0004431199611375,0.0010018850074849,9.06091908486e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2010,0.0054853377763531,0.0104895527818837,0.0019380759628979
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2010,0.0004477963907951,0.0010051100768704,8.76572089042e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2011,0.0053754890969326,0.0101482160070429,0.0019099488528601
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2011,0.0004466058429369,0.0009825580253861,9.40306707887e-05
Deaths,North Africa and Middle East,Male,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2012,0.0052824015067275,0.0100336636074856,0.00188689549608
Deaths,North Africa and Middle East,Female,70-74 years,Diabetes mellitus type 2,Alcohol use,Percent,2012,0.000437068799532,0.0009520423602035,9.50139982946e-05
